angle_deg,epsilon,ridge,budget,static,constructive,best_of_static_constructive,gain,epsilon_threshold
15,1e-06,0.0,7.0,9.216547892241556e-07,9.126149994291533e-07,9.126149994291533e-07,1.0099053706115468,1.112023736803885e-06
15,1e-06,0.0,7.25,7.133954609501793e-07,7.402663852461245e-07,7.133954609501793e-07,0.9637010070543576,6.802468192242192e-07
15,1e-06,0.0,7.5,5.847301992401516e-07,6.35731666585134e-07,5.847301992401516e-07,0.91977516611853,4.161203167278742e-07
15,1e-06,0.0,7.75,5.047649429592766e-07,5.723281547128088e-07,5.047649429592766e-07,0.881950221743966,2.5454893562972576e-07
15,1e-06,0.0,8.0,4.5460110158416975e-07,5.338719808287896e-07,4.5460110158416975e-07,0.8515170638444842,1.5571255461925997e-07
15,1e-06,0.0,8.25,4.2267794849134093e-07,5.105471323128917e-07,4.2267794849134093e-07,0.8278921214903628,9.525240769435836e-08
15,1e-06,0.0,8.5,4.01923472163694e-07,4.96399896554847e-07,4.01923472163694e-07,0.8096767846914442,5.826775527079884e-08
15,1e-06,0.0,8.75,3.880114963464519e-07,4.8781916431741e-07,3.880114963464519e-07,0.7954002727411994,3.5643521822510166e-08
15,1e-06,0.0,9.0,3.7829552647705765e-07,4.826146871326198e-07,3.7829552647705765e-07,0.7838458641295021,2.1803837045096347e-08
15,1e-06,0.0,9.25,3.71156562764102e-07,4.794580121522697e-07,3.71156562764102e-07,0.7741169265229161,1.3337832067243568e-08
15,1e-06,0.0,9.5,3.6560414473236633e-07,4.775433919939395e-07,3.6560414473236633e-07,0.7655935583273785,8.159011808288088e-09
15,1e-06,0.0,9.75,3.610323023903955e-07,4.7638211616620844e-07,3.610323023903955e-07,0.757862837706595,4.991026523506682e-09
15,1e-06,0.0,10.0,3.570702667977484e-07,4.756777667723064e-07,3.570702667977484e-07,0.7506557836844788,3.0531081860593827e-09
15,1e-06,0.0,10.25,3.53491146803633e-07,4.752505572697548e-07,3.53491146803633e-07,0.7437995419392839,1.8676457735272076e-09
15,1e-06,0.0,10.5,3.5015606482220273e-07,4.7499144160833666e-07,3.5015606482220273e-07,0.7371839451181746,1.1424753143397141e-09
15,1e-06,0.0,10.75,3.4697998359160904e-07,4.7483428001527485e-07,3.4697998359160904e-07,0.7307391192995736,6.988744130186678e-10
15,1e-06,0.0,11.0,3.439108017305575e-07,4.7473895669055356e-07,3.439108017305575e-07,0.7244208567335395,4.275150972656123e-10
15,1e-06,0.0,11.25,3.409165660769115e-07,4.7468114017152435e-07,3.409165660769115e-07,0.7182012033461505,2.6151931588399183e-10
15,1e-06,0.0,11.5,3.3797764922009585e-07,4.7464607268009527e-07,3.3797764922009585e-07,0.7120624580578548,1.5997646168749177e-10
15,1e-06,0.0,11.75,3.3508196433935336e-07,4.7462480317138436e-07,3.3508196433935336e-07,0.7059933701323172,9.786071903378003e-11
15,1e-06,0.0,12.0,3.32222038021228e-07,4.7461190256223416e-07,3.32222038021228e-07,0.6999867391182102,5.986330881866234e-11
15,1e-06,0.0,12.25,3.293932196391972e-07,4.746040779472556e-07,3.293932196391972e-07,0.6940379043178045,3.6619552544478156e-11
15,1e-06,0.0,12.5,3.2659258599056773e-07,4.7459933207837065e-07,3.2659258599056773e-07,0.6881437960739427,2.2400893886693385e-11
15,1e-06,0.0,12.75,3.238182712358348e-07,4.7459645356338493e-07,3.238182712358348e-07,0.6823023408719743,1.3703063310574053e-11
15,1e-06,0.0,13.0,3.2106905700389706e-07,4.7459470765579164e-07,3.2106905700389706e-07,0.6765120887878888,8.382430854909582e-12
15,1e-06,0.0,13.25,3.183441216458403e-07,4.745936487093073e-07,3.183441216458403e-07,0.6707719804333682,5.1276963000725e-12
15,1e-06,0.0,13.5,3.156428868430508e-07,4.7459300642579755e-07,3.156428868430508e-07,0.6650812013016915,3.1367117487603306e-12
15,1e-06,0.0,13.75,3.129649237689162e-07,4.7459261686115667e-07,3.129649237689162e-07,0.6594390908118045,1.9187877009543972e-12
